URS00000BA5EB_666


992	981	964	962	961	954	520	72	37	35	29	29	28
990	981	961	956	945	943	473	58	44	41	38	34	33
995	989	973	968	962	961	542	70	39	34	32	30	23
993	983	976	971	970	970	513	65	28	26	24	23	23
996	983	972	962	959	956	544	63	33	33	28	26	23
996	989	961	952	949	946	516	70	41	39	39	37	37
995	984	960	959	952	948	530	68	41	39	38	35	32
995	986	968	960	956	952	550	77	37	35	32	28	26
991	990	970	963	955	953	519	73	42	34	30	27	27
996	979	973	968	968	965	526	66	33	28	27	26	25
991	987	974	967	965	950	541	66	50	41	39	28	22
997	989	975	965	962	959	527	72	32	28	25	21	21
999	980	971	965	960	958	563	70	34	34	29	26	25
996	983	961	961	961	958	527	63	39	34	32	32	32
996	982	969	968	965	959	535	67	32	32	30	27	27
988	984	961	954	952	949	533	82	48	40	39	38	32
994	979	968	963	960	957	505	79	37	35	31	30	28
992	988	964	957	953	947	522	66	38	36	35	31	28
994	986	976	965	960	956	509	59	30	27	26	24	22
992	977	971	963	958	955	542	73	36	32	30	23	22
996	981	972	970	965	963	531	72	37	30	30	25	24
995	980	969	963	960	959	511	72	32	31	31	29	28
996	979	971	968	965	964	542	63	35	28	28	27	27
997	979	965	962	961	957	509	83	34	33	31	31	31
995	989	979	953	952	946	527	66	39	38	22	21	21
997	983	968	964	960	959	513	76	40	34	33	33	19
994	990	971	967	966	964	523	70	33	30	30	29	23
996	989	973	966	965	954	530	65	46	45	44	27	22
995	983	972	955	954	949	545	70	39	31	28	28	27
997	980	967	967	964	960	527	69	36	32	30	30	26
994	988	969	966	959	957	546	59	39	35	29	28	28
996	989	976	967	960	960	537	72	34	28	24	20	20
992	985	968	963	961	958	558	74	40	33	32	28	26
994	985	970	957	954	947	535	52	36	34	30	27	27
997	983	975	969	967	967	556	85	29	28	25	19	19
993	985	972	971	963	961	542	65	33	29	27	23	22
997	976	965	964	962	962	558	69	38	35	33	31	30
997	986	962	959	958	955	548	75	41	37	36	33	33
996	980	962	961	954	952	555	65	40	39	35	34	34
995	983	968	961	958	958	532	59	33	32	31	29	29
998	984	970	963	960	955	526	74	36	32	30	26	26
995	985	972	965	953	952	557	81	36	33	28	27	27
994	987	968	965	964	961	530	72	36	30	30	27	26
993	982	965	955	952	950	519	73	45	36	35	34	31
995	986	968	967	965	959	563	69	33	33	30	29	26
998	985	965	954	952	948	544	61	42	39	35	33	32
996	988	968	965	961	958	532	72	35	33	31	31	23
994	981	971	962	961	958	539	71	39	33	31	30	23
994	986	974	967	966	963	556	74	34	32	30	26	22
996	982	966	961	961	955	563	69	34	34	33	28	28
1000	982	968	967	965	964	521	67	37	34	34	27	27
995	987	967	964	963	960	528	70	37	34	32	31	24
